PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02768.7	DNA_pol3_beta_3	DNA polymerase III beta subunit, C-terminal domain	2835	3248	414	157.60000610351562	3.363116314379561E-44
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02767.8	DNA_pol3_beta_2	DNA polymerase III beta subunit, central domain	2463	2831	369	186.60000610351562	0.0
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF00712.11	DNA_pol3_beta	DNA polymerase III beta subunit, N-terminal domain	2088	2441	354	187.3000030517578	0.0
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF00712.12	DNA_pol3_beta	DNA polymerase III beta subunit, N-terminal domain	2088	2441	354	144.1	1.3E-42
DNA replication and repair protein recF	Rv0003	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00611	TIGR00611	recf: DNA replication and repair protein RecF	3280	4419	1140	450.0	0.0
DNA replication and repair protein recF	Rv0003	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00611	recf	DNA replication and repair protein RecF	3280	4419	1140	708.030029296875	0.0
DNA replication and repair protein recF	Rv0003	Mycobacterium tuberculosis H37Rv complete genome.	PF02463.11	SMC_N	RecF/RecN/SMC N terminal domain	3283	4419	1137	-36.20000076293945	4.999999969612645E-9
DNA replication and repair protein recF	Rv0003	Mycobacterium tuberculosis H37Rv complete genome.	PF02463.12	SMC_N	RecF/RecN/SMC N terminal domain	3283	4356	1074	57.0	1.2E-15
conserved hypothetical protein	Rv0004	Mycobacterium tuberculosis H37Rv complete genome.	PF05258.5	DUF721	Protein of unknown function (DUF721)	4656	4919	264	75.1	3.0E-21
conserved hypothetical protein	Rv0004	Mycobacterium tuberculosis H37Rv complete genome.	PF05258.4	DUF721	Protein of unknown function (DUF721)	4497	4985	489	327.5	0.0
conserved hypothetical protein	Rv0004	Mycobacterium tuberculosis H37Rv complete genome.	PF05258.4	DUF721	Protein of unknown function (DUF721)	4656	4919	264	105.19000244140625	2.1999998866057475E-28
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF01751.14	Toprim	Toprim domain	6596	6931	336	49.45000076293945	1.3000000381735433E-11
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	5348	5773	426	107.75	3.800000012050092E-29
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00986.13	DNA_gyraseB_C	DNA gyrase B subunit, carboxyl terminus	7031	7231	201	154.2899932861328	3.699427945817517E-43
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00204.17	DNA_gyraseB	DNA gyrase B	6005	6517	513	329.510009765625	0.0
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00986.13	DNA_gyraseB_C	DNA gyrase B subunit, carboxyl terminus	7031	7231	201	154.3000030517578	3.194960498660583E-43
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01059	TIGR01059	gyrB: DNA gyrase, B subunit	5273	7264	1992	996.4	0.0
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01059	gyrB	DNA gyrase, B subunit	5273	7264	1992	1619.489990234375	0.0
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00986.14	DNA_gyraseB_C	DNA gyrase B subunit, carboxyl terminus	7037	7231	195	93.6	3.4E-27
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF01751.14	Toprim	Toprim domain	6596	6931	336	49.400001525878906	1.1999999952050366E-11
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00204.17	DNA_gyraseB	DNA gyrase B	6005	6517	513	329.29998779296875	0.0
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	5348	5773	426	108.0	2.7000000085619075E-29
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF01751.15	Toprim	Toprim domain	6596	6931	336	25.1	1.1E-5
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.19	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	5348	5773	426	62.0	2.9E-17
DNA gyrase subunit B gyrB	Rv0005	Mycobacterium tuberculosis H37Rv complete genome.	PF00204.18	DNA_gyraseB	DNA gyrase B	6005	6517	513	211.6	3.3E-63
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF00521.12	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A	7416	8774	1359	996.0999755859375	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8841	8990	150	61.5	2.799999967805335E-15
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8991	9149	159	52.0	1.9999999920083944E-12
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9159	9302	144	44.0	5.09999986686438E-10
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9303	9458	156	48.0	3.29999985670959E-11
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9459	9611	153	54.900001525878906	2.8000000863899477E-13
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9612	9761	150	48.5	2.2999999474415667E-11
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF00521.12	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A	7416	8774	1359	995.77001953125	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9612	9758	147	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9459	9611	153	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9303	9458	156	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9159	9302	144	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8991	9146	156	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.6	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8841	8990	150	203.4	1.2E-61
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF00521.13	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A	7416	8753	1338	484.0	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01063	TIGR01063	gyrA: DNA gyrase, A subunit	7344	9761	2418	1204.9	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01063	gyrA	DNA gyrase, A subunit	7344	9761	2418	1927.8399658203125	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9612	9761	150	310.010009765625	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9459	9611	153	310.010009765625	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9303	9458	156	310.010009765625	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	9159	9302	144	310.010009765625	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8991	9149	159	310.010009765625	0.0
DNA gyrase subunit A gyrA	Rv0006	Mycobacterium tuberculosis H37Rv complete genome.	PF03989.5	DNA_gyraseA_C	DNA gyrase C-terminal domain, beta-propeller	8841	8990	150	310.010009765625	0.0
conserved membrane protein	Rv0007	Mycobacterium tuberculosis H37Rv complete genome.	PF12089.1	DUF3566	Transmembrane domain of unknown function (DUF3566)	10466	10822	357	143.4	2.4E-42
membrane protein	Rv0008c	Mycobacterium tuberculosis H37Rv complete genome.	PF10814.1	DUF2562	Protein of unknown function (DUF2562)	11877	12287	411	228.5	1.5E-68
iron-regulated peptidyl-prolyl-cis-trans-isomerase A ppiA	Rv0009	Mycobacterium tuberculosis H37Rv complete genome.	PF00160.14	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	12513	13010	498	156.2	5.7E-46
iron-regulated peptidyl-prolyl-cis-trans-isomerase A ppiA	Rv0009	Mycobacterium tuberculosis H37Rv complete genome.	PF00160.13	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	12513	13010	498	195.1699981689453	0.0
iron-regulated peptidyl-prolyl-cis-trans-isomerase A ppiA	Rv0009	Mycobacterium tuberculosis H37Rv complete genome.	PF00160.13	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	12513	13010	498	194.0	0.0
conserved membrane protein	Rv0010c	Mycobacterium tuberculosis H37Rv complete genome.	PF10756.2	DUF2581	Protein of unknown function (DUF2581)	13151	13387	237	80.2	5.8E-23
conserved membrane protein	Rv0011c	Mycobacterium tuberculosis H37Rv complete genome.	PF06781.4	UPF0233	Uncharacterised protein family (UPF0233)	13717	13995	279	199.39999389648438	0.0
conserved membrane protein	Rv0011c	Mycobacterium tuberculosis H37Rv complete genome.	PF06781.4	UPF0233	Uncharacterised protein family (UPF0233)	13717	13995	279	199.38999938964844	0.0
conserved membrane protein	Rv0011c	Mycobacterium tuberculosis H37Rv complete genome.	PF06781.5	UPF0233	Uncharacterised protein family (UPF0233)	13717	13995	279	111.2	1.1E-32
conserved membrane protein	Rv0012	Mycobacterium tuberculosis H37Rv complete genome.	PF05949.4	DUF881	Bacterial protein of unknown function (DUF881)	14179	14859	681	346.20001220703125	0.0
conserved membrane protein	Rv0012	Mycobacterium tuberculosis H37Rv complete genome.	PF05949.5	DUF881	Bacterial protein of unknown function (DUF881)	14386	14859	474	146.9	2.2E-43
conserved membrane protein	Rv0012	Mycobacterium tuberculosis H37Rv complete genome.	PF05949.4	DUF881	Bacterial protein of unknown function (DUF881)	14179	14859	681	283.6300048828125	0.0
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	PF00117.20	GATase	Glutamine amidotransferase class-I	14923	15489	567	251.52999877929688	0.0
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	PF00117.20	GATase	Glutamine amidotransferase class-I	14923	15489	567	251.5	0.0
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00566	trpG_papA	glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase	14917	15486	570	246.67999267578125	0.0
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00566	TIGR00566	trpG_papA:  glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase	14917	15486	570	201.1	3.1E-60
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	PF07722.6	Peptidase_C26	Peptidase C26	15049	15435	387	47.5	1.1E-12
anthranilate synthase component II trpG	Rv0013	Mycobacterium tuberculosis H37Rv complete genome.	PF00117.21	GATase	Glutamine amidotransferase class-I	14923	15489	567	170.8	1.7E-50
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	16205	16393	189	203.8300018310547	0.0
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	16001	16192	192	203.8300018310547	0.0
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	15593	15790	198	44.900001525878906	2.6999999458432455E-10
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	15800	15988	189	53.400001525878906	7.299999905778509E-13
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	16001	16192	192	43.79999923706055	5.799999924782639E-10
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	16205	16393	189	62.29999923706055	1.6000000269798136E-15
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.17	Pkinase	Protein kinase domain	16652	17440	789	197.60000610351562	0.0
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF07714.10	Pkinase_Tyr	Protein tyrosine kinase	16655	17440	786	124.7	2.7E-36
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.12	PASTA	PASTA domain	15593	15790	198	177.2	2.4E-53
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.12	PASTA	PASTA domain	15800	15988	189	177.2	2.4E-53
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.12	PASTA	PASTA domain	16001	16192	192	177.2	2.4E-53
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.12	PASTA	PASTA domain	16205	16393	189	177.2	2.4E-53
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.18	Pkinase	Protein kinase domain	16649	17440	792	180.8	2.0E-53
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF07714.9	Pkinase_Tyr	Protein tyrosine kinase	16652	17440	789	25.3799991607666	2.1000000817331197E-15
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.17	Pkinase	Protein kinase domain	16652	17440	789	197.60000610351562	0.0
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	15593	15790	198	203.8300018310547	0.0
transmembrane serine/threonine-protein kinase B pknB	Rv0014c	Mycobacterium tuberculosis H37Rv complete genome.	PF03793.11	PASTA	PASTA domain	15800	15988	189	203.8300018310547	0.0
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF06293.7	Kdo	Lipopolysaccharide kinase (Kdo/WaaP) family	18253	18666	414	24.9	7.0E-6
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF07714.10	Pkinase_Tyr	Protein tyrosine kinase	17974	18726	753	115.2	2.1E-33
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.17	Pkinase	Protein kinase domain	17941	18726	786	191.39999389648438	0.0
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.17	Pkinase	Protein kinase domain	17941	18726	786	191.41000366210938	0.0
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF07714.9	Pkinase_Tyr	Protein tyrosine kinase	17941	18726	786	-5.829999923706055	2.399999957884008E-13
transmembrane serine/threonine-protein kinase A pknA	Rv0015c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.18	Pkinase	Protein kinase domain	17953	18726	774	172.8	5.5E-51
penicillin-binding protein pbpA	Rv0016c	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.14	Transpeptidase	Penicillin binding protein transpeptidase domain	18783	19757	975	370.5	0.0
penicillin-binding protein pbpA	Rv0016c	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.14	Transpeptidase	Penicillin binding protein transpeptidase domain	18783	19757	975	370.5	0.0
penicillin-binding protein pbpA	Rv0016c	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.15	Transpeptidase	Penicillin binding protein transpeptidase domain	18783	19757	975	266.5	1.9E-79
cell division protein rodA	Rv0017c	Mycobacterium tuberculosis H37Rv complete genome.	PF01098.11	FTSW_RODA_SPOVE	Cell cycle protein	20303	21406	1104	455.79998779296875	0.0
cell division protein rodA	Rv0017c	Mycobacterium tuberculosis H37Rv complete genome.	PF01098.11	FTSW_RODA_SPOVE	Cell cycle protein	20303	21406	1104	455.7900085449219	0.0
cell division protein rodA	Rv0017c	Mycobacterium tuberculosis H37Rv complete genome.	PF01098.12	FTSW_RODA_SPOVE	Cell cycle protein	20303	21406	1104	348.5	2.7E-104
serine/threonine phosphatase ppp	Rv0018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00481.14	PP2C	Protein phosphatase 2C	22489	23151	663	44.6	8.3E-12
serine/threonine phosphatase ppp	Rv0018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00481.13	PP2C	Protein phosphatase 2C	22489	23157	669	-11.899999618530273	2.9000000722589903E-5
conserved hypothetical protein	Rv0019c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.19	FHA	FHA domain	23297	23491	195	57.5	8.0E-16
conserved hypothetical protein	Rv0019c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.18	FHA	FHA domain	23297	23491	195	67.13999938964844	6.400000293207712E-17
conserved hypothetical protein	Rv0019c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.18	FHA	FHA domain	23297	23491	195	58.900001525878906	1.60000000580399E-14
conserved hypothetical protein	Rv0020c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.18	FHA	FHA domain	23891	24082	192	71.9000015258789	2.3000000950317638E-18
conserved hypothetical protein	Rv0020c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.18	FHA	FHA domain	23891	24082	192	64.80000305175781	2.7000001050854396E-16
conserved hypothetical protein	Rv0020c	Mycobacterium tuberculosis H37Rv complete genome.	PF12401.1	DUF3662	Protein of unknown function (DUF2662)	25076	25423	348	122.5	7.3E-36
conserved hypothetical protein	Rv0020c	Mycobacterium tuberculosis H37Rv complete genome.	PF00498.19	FHA	FHA domain	23891	24082	192	61.4	4.9E-17
conserved hypothetical protein	Rv0021c	Mycobacterium tuberculosis H37Rv complete genome.	PF03060.7	NPD	2-nitropropane dioxygenase	25949	26872	924	489.6499938964844	0.0
conserved hypothetical protein	Rv0021c	Mycobacterium tuberculosis H37Rv complete genome.	PF03060.8	NPD	2-nitropropane dioxygenase	25949	26872	924	303.2	1.6E-90
conserved hypothetical protein	Rv0021c	Mycobacterium tuberculosis H37Rv complete genome.	PF03060.7	NPD	2-nitropropane dioxygenase	25949	26872	924	489.6000061035156	0.0
conserved hypothetical protein	Rv0021c	Mycobacterium tuberculosis H37Rv complete genome.	PF01070.11	FMN_dh	FMN-dependent dehydrogenase	26243	26575	333	30.6	1.1E-7
transcriptional regulator whib-like whiB5	Rv0022c	Mycobacterium tuberculosis H37Rv complete genome.	PF02467.8	Whib	Transcription factor WhiB	27194	27409	216	143.57000732421875	6.200003016451223E-40
transcriptional regulator whib-like whiB5	Rv0022c	Mycobacterium tuberculosis H37Rv complete genome.	PF02467.9	Whib	Transcription factor WhiB	27194	27409	216	82.6	1.3E-23
transcriptional regulator whib-like whiB5	Rv0022c	Mycobacterium tuberculosis H37Rv complete genome.	PF02467.8	Whib	Transcription factor WhiB	27194	27409	216	143.60000610351562	5.400001723168185E-40
transcriptional regulator	Rv0023	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.14	HTH_3	Helix-turn-helix	27622	27786	165	48.38999938964844	2.799999988811752E-11
transcriptional regulator	Rv0023	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.14	HTH_3	Helix-turn-helix	27622	27786	165	48.20000076293945	2.799999988811752E-11
transcriptional regulator	Rv0023	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.15	HTH_3	Helix-turn-helix	27622	27786	165	44.1	1.0E-11
secreted protein	Rv0024	Mycobacterium tuberculosis H37Rv complete genome.	PF00877.11	NLPC_P60	NlpC/P60 family	28905	29207	303	157.41000366210938	4.344025239406933E-44
secreted protein	Rv0024	Mycobacterium tuberculosis H37Rv complete genome.	PF00877.11	NLPC_P60	NlpC/P60 family	28905	29207	303	157.39999389648438	3.6433760072445244E-44
secreted protein	Rv0024	Mycobacterium tuberculosis H37Rv complete genome.	PF00877.12	NLPC_P60	NlpC/P60 family	28905	29201	297	75.4	2.1E-21
conserved hypothetical protein	Rv0025	Mycobacterium tuberculosis H37Rv complete genome.	PF10774.2	BssS	Biofilm regulator BssS	29251	29589	339	146.2	2.8E-43
conserved hypothetical protein	Rv0025	Mycobacterium tuberculosis H37Rv complete genome.	PF10774.1	BssS	Biofilm regulator BssS	29251	29589	339	212.2100067138672	0.0
conserved hypothetical protein	Rv0026	Mycobacterium tuberculosis H37Rv complete genome.	PF10774.1	BssS	Biofilm regulator BssS	29941	30273	333	217.9199981689453	0.0
conserved hypothetical protein	Rv0026	Mycobacterium tuberculosis H37Rv complete genome.	PF10774.2	BssS	Biofilm regulator BssS	29941	30273	333	145.6	4.1E-43
hypothetical protein	Rv0027	Mycobacterium tuberculosis H37Rv complete genome.	PF10824.1	DUF2580	Protein of unknown function (DUF2580)	31189	31485	297	108.9	1.0E-31
hypothetical protein	Rv0028	Mycobacterium tuberculosis H37Rv complete genome.	PF10904.1	DUF2694	Protein of unknown function (DUF2694)	31514	31816	303	218.5	5.8E-66
