Label	ID	Track	Strand	Start	Stop	Length	DB XREF	Experiment	Function	Gene	Protein ID	EC_Number	Product	TransL_Table	Locus Tag
NC_000962.gbk: CDS	23330:10:00	NC_000962.gbk: CDS (640113442)	-	13714	13995	282	887074		UNKNOWN		NP_214525.1		septation inhibitor protein	11	Rv0011c
NC_000962.gbk: CDS	23330:11:00	NC_000962.gbk: CDS (640113442)	+	14089	14877	789	887083		UNKNOWN		NP_214526.1		hypothetical protein	11	Rv0012
trpG	23330:12:00	NC_000962.gbk: CDS (640113442)	+	14914	15612	699	885955	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN BIOSYNTHESIS OF TRYPTOPHAN (AT THE FIRST STEP). SUPPOSED TETRAMER OF TWO COMPONENTS I AND TWO COMPONENTS II: COMPONENT I (Rv1609|trpE) CATALYZES THE FORMATION OF ANTHRANILATE USING AMMONIA RATHER THAN GLUTAMINE, WHEREAS COMPONENT II (	trpG	YP_177615.1		para-aminobenzoate synthase component II	11	Rv0013
pknB	23330:13:00	NC_000962.gbk: CDS (640113442)	-	15590	17470	1881	887072	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN SIGNAL TRANSDUCTION (VIA PHOSPHORYLATION). THOUGHT TO REGULATE CELL DIVISION/DIFFERENTIATION. CAN PHOSPHORYLATE THE PEPTIDE SUBSTRATE MYELIN BASIC PROTEIN (MBP) [CATALYTIC ACTIVITY: ATP + A PROTEIN = ADP + A PHOSPHOPROTEIN].	pknB	NP_214528.1	2.7.1.-	Ser/Thr protein kinase B	11	Rv0014c
pknA	23330:14:00	NC_000962.gbk: CDS (640113442)	-	17467	18762	1296	885953	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN SIGNAL TRANSDUCTION (VIA PHOSPHORYLATION). THOUGHT TO REGULATE MORPHOLOGICAL CHANGES ASSOCIATED WITH CELL DIVISION/DIFFERENTIATION PROCESS. PHOSPHORYLATES AT SERINE AND THREONINE RESIDUES [CATALYTIC ACTIVITY: ATP + A PROTEIN = ADP + A PHOSPHOP	pknA	NP_214529.1	2.7.1.-	Ser/Thr protein kinase A	11	Rv0015c
pbpA	23330:15:00	NC_000962.gbk: CDS (640113442)	-	18759	20234	1476	887078	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN PEPTIDOGLYCAN SYNTHESIS (AT THE FINAL STAGES). CELL WALL FORMATION; PBPA IS SUPPOSED TO BE RESPONSIBLE FOR THE DETERMINATION OF THE ROD SHAPE OF THE CELL. ITS SYNTHESIZES CROSS-LINKED PEPTIDOGLYCAN FROM LIPID INTERMEDIATES.	pbpA	NP_214530.1		penicillin-binding protein PbpA	11	Rv0016c
rodA	23330:16:00	NC_000962.gbk: CDS (640113442)	-	20231	21640	1410	887075	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THIS IS A SEPTUM-PEPTIDOGLYCAN BIOSYNTHETIC PROTEIN, INVOLVED IN CELL WALL FORMATION. PLAYS A ROLE IN THE STABILIZATION OF THE FTSZ RING DURING CELL DIVISION.	rodA	NP_214531.1		cell division protein RodA	11	Rv0017c
ppp	23330:17:00	NC_000962.gbk: CDS (640113442)	-	21637	23181	1545	887070	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN REGULATION (USING DEPHOSPHORYLATION OF A SPECIFIC PHOSPHORYLATED SUBSTRATE).	ppp	NP_214532.1	3.1.3.16	serine/threonine phosphatase	11	Rv0018c
NC_000962.gbk: CDS	23330:18:00	NC_000962.gbk: CDS (640113442)	-	23270	23737	468	887079	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214533.1		hypothetical protein	11	Rv0019c
TB39.8	23330:19:00	NC_000962.gbk: CDS (640113442)	-	23861	25444	1584	887067	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	TB39.8	NP_214534.1		hypothetical protein	11	Rv0020c
NC_000962.gbk: CDS	23330:20:00	NC_000962.gbk: CDS (640113442)	-	25913	26881	969	887066		UNKNOWN		NP_214535.1		hypothetical protein	11	Rv0021c
whiB5	23330:21:00	NC_000962.gbk: CDS (640113442)	-	27023	27442	420	887071		INVOLVED IN TRANSCRIPTIONAL MECHANISM.	whiB5	NP_214536.1		transcriptional regulatory protein WHIB-like WHIB5	11	Rv0022c
NC_000962.gbk: CDS	23330:22:00	NC_000962.gbk: CDS (640113442)	+	27595	28365	771	887062	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214537.1		transcriptional regulatory protein	11	Rv0023
NC_000962.gbk: CDS	23330:23:00	NC_000962.gbk: CDS (640113442)	+	28362	29207	846	887061		UNKNOWN. THE P60 PROTEIN IS A MAJOR EXTRACELLULAR PROTEIN MAY BE INVOLVED IN THE INVASION OF HOST CELLS.		NP_214538.1		protein P60-related protein	11	Rv0024
NC_000962.gbk: CDS	23330:24:00	NC_000962.gbk: CDS (640113442)	+	29245	29607	363	887060	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214539.1		hypothetical protein	11	Rv0025
NC_000962.gbk: CDS	23330:25:00	NC_000962.gbk: CDS (640113442)	+	29722	31068	1347	887057		UNKNOWN		NP_214540.1		hypothetical protein	11	Rv0026
NC_000962.gbk: CDS	23330:26:00	NC_000962.gbk: CDS (640113442)	+	31189	31506	318	887054		UNKNOWN		NP_214541.1		hypothetical protein	11	Rv0027
NC_000962.gbk: CDS	23330:27:00	NC_000962.gbk: CDS (640113442)	+	31514	31819	306	885812		UNKNOWN		NP_214542.1		hypothetical protein	11	Rv0028
NC_000962.gbk: CDS	23330:28:00	NC_000962.gbk: CDS (640113442)	+	32057	33154	1098	887053	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214543.1		hypothetical protein	11	Rv0029
NC_000962.gbk: CDS	23330:29:00	NC_000962.gbk: CDS (640113442)	+	33224	33553	330	887051	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214544.1		hypothetical protein	11	Rv0030
NC_000962.gbk: CDS	23330:30:00	NC_000962.gbk: CDS (640113442)	+	33582	33794	213	887049		NORMALY, REQUIRED FOR THE TRANSPOSITION OF AN INSERTION ELEMENT.		NP_214545.1		remnant of A transposase	11	Rv0031
bioF2	23330:31:00	NC_000962.gbk: CDS (640113442)	+	34295	36610	2316	887050	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	COULD BE INVOLVED IN BIOTIN BIOSYNTHESIS (AT THE FIRST STEP) [CATALYTIC ACTIVITY: 6-CARBOXYHEXANOYL-COA + L-ALANINE = 8-AMINO-7-OXONONANOATE + CoA + CO2].	bioF2	NP_214546.1	2.3.1.47	8-amino-7-oxononanoate synthase	11	Rv0032
acpA	23330:32:00	NC_000962.gbk: CDS (640113442)	+	36607	36870	264	887052		KEY COMPONENT IN DE NOVO FATTY ACID BIOSYNTHESIS. THIS PROTEIN IS SUPPOSED TO BE THE CARRIER OF THE GROWING FATTY ACID CHAIN IN FATTY ACID BIOSYNTHESIS.	acpA	NP_214547.1		acyl carrier protein	11	Rv0033
NC_000962.gbk: CDS	23330:33:00	NC_000962.gbk: CDS (640113442)	+	36867	37262	396	887046	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995			NP_214548.1		hypothetical protein	11	Rv0034
fadD34	23330:34:00	NC_000962.gbk: CDS (640113442)	+	37259	38947	1689	887048	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN, BUT INVOLVED IN LIPID DEGRADATION.	fadD34	YP_177686.1	6.2.1.-	fatty-acid--CoA ligase	11	Rv0035
NC_000962.gbk: CDS	23330:35:00	NC_000962.gbk: CDS (640113442)	-	39056	39829	774	887043	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214550.1		hypothetical protein	11	Rv0036c
NC_000962.gbk: CDS	23330:36:00	NC_000962.gbk: CDS (640113442)	-	39877	41202	1326	887042		UNKNOWN; POSSIBLY INVOLVED IN TRANSPORT OF MACROLIDE ACROSS THE MEMBRANE.		NP_214551.1		hypothetical protein	11	Rv0037c
NC_000962.gbk: CDS	23330:37:00	NC_000962.gbk: CDS (640113442)	+	41304	41912	609	887045	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214552.1		hypothetical protein	11	Rv0038
NC_000962.gbk: CDS	23330:38:00	NC_000962.gbk: CDS (640113442)	-	42004	42351	348	887038		UNKNOWN		NP_214553.1		transmembrane protein	11	Rv0039c
mtc28	23330:39:00	NC_000962.gbk: CDS (640113442)	-	42433	43365	933	887037	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	mtc28	NP_214554.2		hypothetical protein	11	Rv0040c
leuS	23330:40:00	NC_000962.gbk: CDS (640113442)	+	43562	46471	2910	887040	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSLATION MECHANISM [CATALYTIC ACTIVITY: ATP + L-leucine + tRNA(Leu) = AMP + diphosphate + L-leucyl-tRNA(Leu)].	leuS	NP_214555.1	6.1.1.4	leucyl-tRNA synthetase	11	Rv0041
NC_000962.gbk: CDS	23330:41:00	NC_000962.gbk: CDS (640113442)	-	46581	47207	627	887034	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214556.1		MarR family transcriptional regulator	11	Rv0042c
NC_000962.gbk: CDS	23330:42:00	NC_000962.gbk: CDS (640113442)	-	47366	48100	735	887032	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214557.1		GntR family transcriptional regulator	11	Rv0043c
NC_000962.gbk: CDS	23330:43:00	NC_000962.gbk: CDS (640113442)	-	48233	49027	795	887030	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214558.1		oxidoreductase	11	Rv0044c
NC_000962.gbk: CDS	23330:44:00	NC_000962.gbk: CDS (640113442)	-	49043	49939	897	887029	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN LIPID BIOSYNTHESIS.		NP_214559.1	3.-.-.-	hydrolase	11	Rv0045c
ino1	23330:45:00	NC_000962.gbk: CDS (640113442)	-	50021	51124	1104	887028	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN PHOSPHATIDYLINOSITOL (PI) BIOSYNTHETIC PATHWAY [CATALYTIC ACTIVITY: D-GLUCOSE 6-PHOSPHATE = 1L-MYO-INOSITOL 1-PHOSPHATE].	ino1	NP_214560.1	5.5.1.4	myo-inositol-1-phosphate synthase	11	Rv0046c
NC_000962.gbk: CDS	23330:46:00	NC_000962.gbk: CDS (640113442)	-	51185	51727	543	887031		UNKNOWN		NP_214561.1		hypothetical protein	11	Rv0047c
NC_000962.gbk: CDS	23330:47:00	NC_000962.gbk: CDS (640113442)	-	51828	52697	870	887027	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214562.1		hypothetical protein	11	Rv0048c
NC_000962.gbk: CDS	23330:48:00	NC_000962.gbk: CDS (640113442)	+	52831	53244	414	887024		UNKNOWN		NP_214563.1		hypothetical protein	11	Rv0049
ponA1	23330:49:00	NC_000962.gbk: CDS (640113442)	+	53663	55699	2037	887065	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN PEPTIDOGLYCAN SYNTHESIS (AT THE FINAL STAGES), CELL WALL FORMATION. SYNTHESIS OF CROSS-LINKED PEPTIDOGLYCAN FROM THE LIPID INTERMEDIATES. THE ENZYME HAS A PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE N-TERMINAL DOMAIN (FORMATION OF LINEAR GLYCAN ST	ponA1	YP_177687.1	3.4.-.-	bifunctional penicillin-binding protein 1A/1B	11	Rv0050
NC_000962.gbk: CDS	23330:50:00	NC_000962.gbk: CDS (640113442)	+	55696	57378	1683	887018		UNKNOWN		NP_214565.1		transmembrane protein	11	Rv0051
NC_000962.gbk: CDS	23330:51:00	NC_000962.gbk: CDS (640113442)	+	57398	57973	576	887015	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214566.2		hypothetical protein	11	Rv0052
rpsF	23330:52:00	NC_000962.gbk: CDS (640113442)	+	58192	58482	291	887020	COORDINATES: PNNL proteomics experiment - BioProject PRJNA66995	BINDS TOGETHER WITH S18 TO 16S RIBOSOMAL RNA.	rpsF	NP_214567.1		30S ribosomal protein S6	11	Rv0053
ssb	23330:53:00	NC_000962.gbk: CDS (640113442)	+	58586	59080	495	887013	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THIS PROTEIN IS ESSENTIAL FOR REPLICATION OF THE CHROMOSOME. IT IS ALSO INVOLVED IN DNA RECOMBINATION AND REPAIR.	ssb	NP_214568.1		single-stranded DNA-binding protein	11	Rv0054
rpsR	23330:54:00	NC_000962.gbk: CDS (640113442)	+	59122	59376	255	887022	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THIS PROTEIN HAS BEEN IMPLICATED IN AMINOACYL-TRANSFER RNA BINDING. IT APPEARS TO BE SITUATED AT THE DECODING SITE OF MESSENGER RNA.	rpsR	YP_177688.1		30S ribosomal protein S18	11	Rv0055
rplI	23330:55:00	NC_000962.gbk: CDS (640113442)	+	59409	59867	459	887010	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	BINDS TO THE 23S RRNA.	rplI	NP_214570.1		50S ribosomal protein L9	11	Rv0056
NC_000962.gbk: CDS	23330:56:00	NC_000962.gbk: CDS (640113442)	+	59896	60417	522	887008		UNKNOWN		NP_214571.1		hypothetical protein	11	Rv0057
dnaB	23330:57:00	NC_000962.gbk: CDS (640113442)	+	60396	63020	2625	887009		PARTICIPATES IN INITIATION AND ELONGATION DURING CHROMOSOME REPLICATION; IT EXHIBITS DNA-DEPENDENT ATPASE ACTIVITY. THE INTEIN IS AN ENDONUCLEASE (POTENTIAL).	dnaB	NP_214572.1	3.6.1.-	replicative DNA helicase	11	Rv0058
NC_000962.gbk: CDS	23330:58:00	NC_000962.gbk: CDS (640113442)	+	63200	63892	693	887006	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214573.1		hypothetical protein	11	Rv0059
NC_000962.gbk: CDS	23330:59:00	NC_000962.gbk: CDS (640113442)	+	63909	64967	1059	887004	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214574.1		hypothetical protein	11	Rv0060
NC_000962.gbk: CDS	23331:00:00	NC_000962.gbk: CDS (640113442)	+	64991	65416	426	887003		UNKNOWN		NP_214575.1		hypothetical protein	11	Rv0061
celA1	23331:01:00	NC_000962.gbk: CDS (640113442)	+	65552	66694	1143	887007	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THE BIOLOGICAL CONVERSION OF CELLULOSE TO GLUCOSE GENERALLY REQUIRES THREE TYPES OF HYDROLYTIC ENZYMES: (1) ENDOGLUCANASES WHICH CUT INTERNAL BETA-1,4-GLUCOSIDIC BONDS; (2) EXOCELLOBIOHYDROLASES THAT CUT THE DISSACCHARIDE CELLOBIOSE FROM THE NONREDUCING E	celA1	YP_177689.1	3.2.1.4	endo-1,4-beta-glucanase	11	Rv0062
NC_000962.gbk: CDS	23331:02:00	NC_000962.gbk: CDS (640113442)	+	66923	68362	1440	886999		UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214577.1		oxidoreductase	11	Rv0063
NC_000962.gbk: CDS	23331:03:00	NC_000962.gbk: CDS (640113442)	+	68620	71559	2940	886996		UNKNOWN		NP_214578.1		hypothetical protein	11	Rv0064
NC_000962.gbk: CDS	23331:04:00	NC_000962.gbk: CDS (640113442)	+	71821	72222	402	886993		UNKNOWN		NP_214579.1		hypothetical protein	11	Rv0065
icd2	23331:05:00	NC_000962.gbk: CDS (640113442)	-	72274	74511	2238	887016	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN THE KREBS CYCLE [CATALYTIC ACTIVITY: Isocitrate + NADP+ = 2-OXOGLUTARATE + CO(2) + NADPH].	icd2	NP_214580.1	1.1.1.42	isocitrate dehydrogenase	11	Rv0066c
NC_000962.gbk: CDS	23331:06:00	NC_000962.gbk: CDS (640113442)	-	74629	75198	570	886991		POSSIBLY INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214581.1		TetR family transcriptional regulator	11	Rv0067c
NC_000962.gbk: CDS	23331:07:00	NC_000962.gbk: CDS (640113442)	+	75301	76212	912	886989	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214582.1		short-chain dehydrogenase	11	Rv0068
sdaA	23331:08:00	NC_000962.gbk: CDS (640113442)	-	76237	77622	1386	886986	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN GLUCONEOGENESIS FROM SERINE [CATALYTIC ACTIVITY: L-serine + H2O = pyruvate + NH3 + H2O].	sdaA	NP_214583.1	4.3.1.17	L-serine dehydratase SdaA	11	Rv0069c
glyA	23331:09:00	NC_000962.gbk: CDS (640113442)	-	77619	78896	1278	886983	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	KEY ENZYME IN THE BIOSYNTHESIS OF PURINES, LIPIDS, OTHER COMPONENTS. INTERCONVERSION OF SERINE AND GLYCINE [CATALYTIC ACTIVITY: 5,10-methylenetetrahydrofolate + glycine + H2O = tetrahydrofolate + L-serine].	glyA	NP_214584.1	2.1.2.1	serine hydroxymethyltransferase	11	Rv0070c
NC_000962.gbk: CDS	23331:10:00	NC_000962.gbk: CDS (640113442)	+	79486	80193	708	886988		UNKNOWN		NP_214585.1		maturase	11	Rv0071
NC_000962.gbk: CDS	23331:11:00	NC_000962.gbk: CDS (640113442)	+	80624	81673	1050	886984	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THOUGHT TO BE INVOLVED IN ACTIVE TRANSPORT OF GLUTAMINE ACROSS THE MEMBRANE (IMPORT). RESPONSIBLE FOR THE TRANSLOCATION OF THE SUBSTRATE ACROSS THE MEMBRANE.		NP_214586.1		glutamine-transport transmembrane protein ABC transporter	11	Rv0072
NC_000962.gbk: CDS	23331:12:00	NC_000962.gbk: CDS (640113442)	+	81676	82668	993	886977	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THOUGHT TO BE INVOLVED IN ACTIVE TRANSPORT OF GLUTAMINE ACROSS THE MEMBRANE (IMPORT). RESPONSIBLE FOR THE TRANSLOCATION OF THE SUBSTRATE ACROSS THE MEMBRANE.		NP_214587.1		glutamine-transport ABC transporter ATP-binding protein	11	Rv0073
NC_000962.gbk: CDS	23331:13:00	NC_000962.gbk: CDS (640113442)	+	82748	83983	1236	886976	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214588.1		hypothetical protein	11	Rv0074
NC_000962.gbk: CDS	23331:14:00	NC_000962.gbk: CDS (640113442)	+	83996	85168	1173	886982	COORDINATES: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214589.1		aminotransferase	11	Rv0075
NC_000962.gbk: CDS	23331:15:00	NC_000962.gbk: CDS (640113442)	-	85183	85572	390	886992		UNKNOWN		NP_214590.1		hypothetical protein	11	Rv0076c
NC_000962.gbk: CDS	23331:16:00	NC_000962.gbk: CDS (640113442)	-	85636	86466	831	886969	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214591.1		oxidoreductase	11	Rv0077c
NC_000962.gbk: CDS	23331:17:00	NC_000962.gbk: CDS (640113442)	+	86528	87133	606	886990	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214592.1		transcriptional regulatory protein	11	Rv0078
NC_000962.gbk: CDS	23331:18:00	NC_000962.gbk: CDS (640113442)	-	87208	87801	594	3205053	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		YP_177616.1		hypothetical protein	11	Rv0078A
NC_000962.gbk: CDS	23331:19:00	NC_000962.gbk: CDS (640113442)	+	88204	89025	822	886995	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214593.1		hypothetical protein	11	Rv0079
NC_000962.gbk: CDS	23331:20:00	NC_000962.gbk: CDS (640113442)	+	89022	89480	459	886966	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214594.1		hypothetical protein	11	Rv0080
NC_000962.gbk: CDS	23331:21:00	NC_000962.gbk: CDS (640113442)	+	89575	89919	345	887012		INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_214595.1		transcriptional regulatory protein	11	Rv0081
NC_000962.gbk: CDS	23331:22:00	NC_000962.gbk: CDS (640113442)	+	89924	90403	480	886968	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214596.1		oxidoreductase	11	Rv0082
NC_000962.gbk: CDS	23331:23:00	NC_000962.gbk: CDS (640113442)	+	90400	92322	1923	886965	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_214597.1		oxidoreductase	11	Rv0083
hycD	23331:24:00	NC_000962.gbk: CDS (640113442)	+	92328	93278	951	886959		INVOLVED IN HYDROGEN METABOLISM; FHL PATHWAY.	hycD	NP_214598.1		formate hydrogenlyase HYCD	11	Rv0084
hycP	23331:25:00	NC_000962.gbk: CDS (640113442)	+	93289	93951	663	886973		INVOLVED IN HYDROGEN METABOLISM.	hycP	NP_214599.1		hydrogenase HycP	11	Rv0085
hycQ	23331:26:00	NC_000962.gbk: CDS (640113442)	+	93951	95417	1467	886963		POSSIBLY INVOLVED IN HYDROGEN METABOLISM.	hycQ	NP_214600.1		hydrogenase HycQ	11	Rv0086
hycE	23331:27:00	NC_000962.gbk: CDS (640113442)	+	95414	96892	1479	886956	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN HYDROGEN METABOLISM; FHL PATHWAY.	hycE	NP_214601.1		formate hydrogenase HycE	11	Rv0087
NC_000962.gbk: CDS	23331:28:00	NC_000962.gbk: CDS (640113442)	+	96927	97601	675	886954	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214602.1		hypothetical protein	11	Rv0088
NC_000962.gbk: CDS	23331:29:00	NC_000962.gbk: CDS (640113442)	+	97758	98351	594	886949		THOUGHT TO CAUSE METHYLATION.		NP_214603.1	2.1.1.-	methyltransferase/methylase	11	Rv0089
NC_000962.gbk: CDS	23331:30:00	NC_000962.gbk: CDS (640113442)	+	98480	99250	771	886961		UNKNOWN		NP_214604.1		hypothetical protein	11	Rv0090
