Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg004	Rv0134	PATRIC	pseudogene	162403	162673	271	+			ephF					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r039	Rvnt36	PATRIC	tRNA	3348659	3348730	72	-				tRNA-Gln-CTG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg006	Rv0326	PATRIC	pseudogene	392039	392728	690	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg018	Rv2229c	PATRIC	pseudogene	2502735	2504608	1874	-								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r041		PATRIC	tRNA	3559367	3559443	77	-				tRNA-Met-CAT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg013		PATRIC	pseudogene	2125904	2127438	1535	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r040	Rvnt37	PATRIC	tRNA	3431840	3431912	73	-				tRNA-Ala-GGC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r010		PATRIC	tRNA	923800	923875	76	-				tRNA-Lys-TTT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg024	Rv3637	PATRIC	pseudogene	4075752	4076984	1233	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r023		PATRIC	tRNA	1828012	1828088	77	-				tRNA-Leu-CAA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r027	Rvnt24	PATRIC	tRNA	2581764	2581837	74	-				tRNA-Met-CAT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r018		PATRIC	tRNA	1446190	1446265	76	-				tRNA-Arg-CCG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r036		PATRIC	tRNA	2969855	2969928	74	+				tRNA-Cys-GCA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r038		PATRIC	tRNA	3348544	3348619	76	-				tRNA-Glu-CTC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r020	Rvnr02	PATRIC	rRNA	1473658	1476795	3138	+			rrl	Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg025	Rv3724B	PATRIC	pseudogene	4169467	4170169	703	+			cut5b					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r047	Rvnt44	PATRIC	tRNA	4216968	4217056	89	-				tRNA-Ser-GCT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r046	Rvnt43	PATRIC	tRNA	4216865	4216937	73	-				tRNA-Arg-ACG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r045		PATRIC	tRNA	4199128	4199217	90	-				tRNA-Ser-CGA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r016	Rvnt16	PATRIC	tRNA	1138076	1138147	72	-				tRNA-Gln-TTG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg014	Rv1916	PATRIC	pseudogene	2160463	2162762	2300	+			aceAb					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r024	Rvnt21	PATRIC	tRNA	1946613	1946686	74	+				tRNA-Pro-GGG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r007		PATRIC	tRNA	731603	731679	77	+				tRNA-Met-CAT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r011		PATRIC	tRNA	923999	924075	77	+				tRNA-Glu-TTC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg001		PATRIC	pseudogene	33224	33799	576	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r015		PATRIC	tRNA	1113511	1113586	76	+				tRNA-Ala-CGC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg023		PATRIC	pseudogene	4007185	4008182	998	-								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r004		PATRIC	tRNA	386201	386274	74	-				tRNA-Gly-CCC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r008	Rvnt08	PATRIC	tRNA	733524	733596	73	+				tRNA-Trp-CCA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r035		PATRIC	tRNA	2969753	2969828	76	+				tRNA-Gly-GCC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r017	Rvnt17	PATRIC	tRNA	1177396	1177469	74	+				tRNA-Leu-TAA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg020		PATRIC	pseudogene	2864427	2865547	1121	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r042		PATRIC	tRNA	4081362	4081437	76	-				tRNA-Thr-CGT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r012		PATRIC	tRNA	924110	924186	77	+				tRNA-Asp-GTC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg015		PATRIC	pseudogene	2338149	2338719	571	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0001	Rv0001	PATRIC	CDS	34	1524	1491	+		496	dnaA	Chromosomal replication initiator protein DnaA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0002	Rv0002	PATRIC	CDS	2052	3260	1209	+		402	dnaN	DNA polymerase III beta subunit (EC 2.7.7.7)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0003	Rv0003	PATRIC	CDS	3280	4437	1158	+		385	recF	DNA recombination and repair protein RecF				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0004	Rv0004	PATRIC	CDS	4497	4997	501	+		166		Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0005	Rv0005	PATRIC	CDS	5207	7267	2061	+		686	gyrB	DNA gyrase subunit B (EC 5.99.1.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0006	Rv0006	PATRIC	CDS	7302	9818	2517	+		838	gyrA	DNA gyrase subunit A (EC 5.99.1.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0007		PATRIC	CDS	9963	10160	198	+		65		FIG00822768: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0008	Rv0007	PATRIC	CDS	10484	10828	345	+		114		FIG187021: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0009		PATRIC	CDS	10999	11121	123	+		40		FIG00820627: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0010		PATRIC	CDS	11555	11692	138	-		45		FIG00820133: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0011	Rv0008c	PATRIC	CDS	11874	12311	438	-		145		FIG024317: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0012	Rv0009	PATRIC	CDS	12486	13016	531	+		176	ppiA	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0013		PATRIC	CDS	13024	13176	153	-		50		FIG00822644: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0014	Rv0010c	PATRIC	CDS	13133	13447	315	-		104		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0015	Rv0011c	PATRIC	CDS	13714	13995	282	-		93		FIG018426: putative septation inhibitor protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0016	Rv0012	PATRIC	CDS	14134	14877	744	+		247		FIG215594: Membrane spanning protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0017	Rv0013	PATRIC	CDS	14914	15612	699	+		232	trpG	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 6.3.5.8)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0018	Rv0014c	PATRIC	CDS	15590	17470	1881	-		626	pknB	Serine/threonine-protein kinase PknB (EC 2.7.11.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0019	Rv0015c	PATRIC	CDS	17467	18762	1296	-		431	pknA	Serine/threonine-protein kinase PknA (EC 2.7.11.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0020	Rv0016c	PATRIC	CDS	18759	20207	1449	-		482	pbpA	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0021	Rv0017c	PATRIC	CDS	20231	21598	1368	-		455	rodA	Cell division protein FtsW				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0022	Rv0018c	PATRIC	CDS	21637	23172	1536	-		511	ppp	Serine/threonine phosphatase PPP (EC 3.1.3.16)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0023	Rv0019c	PATRIC	CDS	23270	23737	468	-		155		FIG00818182: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0024	Rv0020c	PATRIC	CDS	23861	25243	1383	-		460	TB39.8	FIG025441: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0025	Rv0021c	PATRIC	CDS	25913	26881	969	-		322		Nitronate monooxygenase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0026	Rv0022c	PATRIC	CDS	27023	27442	420	-		139	whiB5	WhiB family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0027	Rv0023	PATRIC	CDS	27595	28365	771	+		256		Transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0028	Rv0024	PATRIC	CDS	28362	29207	846	+		281		NlpC/P60 family, cell wall-associated hydrolase, invasion-associated protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0029	Rv0025	PATRIC	CDS	29245	29607	363	+		120		FIG00821242: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0030	Rv0026	PATRIC	CDS	29722	31068	1347	+		448		FIG00821131: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0031	Rv0027	PATRIC	CDS	31207	31506	300	+		99		FIG00822329: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0032	Rv0028	PATRIC	CDS	31514	31819	306	+		101		FIG00820005: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0033		PATRIC	CDS	31824	31967	144	-		47		FIG00820102: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0034	Rv0029	PATRIC	CDS	32057	33154	1098	+		365		Vegetative cell wall protein gp1 precursor				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0035	Rv0030	PATRIC	CDS	33224	33553	330	+		109		FIG00820917: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0036	Rv0031	PATRIC	CDS	33510	33794	285	+		94		PUTATIVE REMNANT OF A TRANSPOSASE				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0037	Rv0032	PATRIC	CDS	34295	36610	2316	+		771	bioF2	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0038	Rv0033	PATRIC	CDS	36607	36870	264	+		87	acpA	Acyl carrier protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0039	Rv0034	PATRIC	CDS	36867	37262	396	+		131		FIG00821634: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0040	Rv0035	PATRIC	CDS	37259	38947	1689	+		562	fadD34	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0041	Rv0036c	PATRIC	CDS	39056	39829	774	-		257		FIG00822256: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0042	Rv0037c	PATRIC	CDS	39877	41178	1302	-		433		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0043	Rv0038	PATRIC	CDS	41304	41912	609	+		202		FIG00996838: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0044	Rv0039c	PATRIC	CDS	42004	42351	348	-		115		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0045	Rv0040c	PATRIC	CDS	42433	43365	933	-		310	mtc28	Proline-rich 28 kDa antigen				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0046	Rv0041	PATRIC	CDS	43562	46471	2910	+		969	leuS	Leucyl-tRNA synthetase (EC 6.1.1.4)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0047	Rv0042c	PATRIC	CDS	46581	47084	504	-		167		Transcriptional regulator, MarR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0048		PATRIC	CDS	47140	47274	135	+		44		FIG00823308: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0049	Rv0043c	PATRIC	CDS	47366	48100	735	-		244		Transcriptional regulator, GntR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0050	Rv0044c	PATRIC	CDS	48233	49027	795	-		264		Possible oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0051	Rv0045c	PATRIC	CDS	49043	49939	897	-		298		Hydrolase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0052	Rv0046c	PATRIC	CDS	50021	51124	1104	-		367	ino1	Inositol-1-phosphate synthase (EC 5.5.1.4)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0053	Rv0047c	PATRIC	CDS	51185	51727	543	-		180		Transcriptional regulator, PadR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0054	Rv0048c	PATRIC	CDS	51828	52697	870	-		289		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0055	Rv0049	PATRIC	CDS	52810	53244	435	+		144		FIG00822203: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0056	Rv0050	PATRIC	CDS	53354	55699	2346	+		781	ponA1	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0057	Rv0051	PATRIC	CDS	55696	57378	1683	+		560		Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0058	Rv0052	PATRIC	CDS	57335	57973	639	+		212		ThiJ/PfpI family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0059	Rv0053	PATRIC	CDS	58192	58482	291	+		96	rpsF	SSU ribosomal protein S6p				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0060	Rv0054	PATRIC	CDS	58586	59080	495	+		164	ssb	Single-stranded DNA-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0061	Rv0055	PATRIC	CDS	59182	59376	195	+		64	rpsR	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0063		PATRIC	CDS	59985	60107	123	-		40		FIG00820602: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0064	Rv0058	PATRIC	CDS	60396	63020	2625	+		874	dnaB	Replicative DNA helicase (EC 3.6.1.-) @ intein-containing				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0065	Rv0059	PATRIC	CDS	63200	63892	693	+		230		FIG00821672: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0066	Rv0060	PATRIC	CDS	63909	64967	1059	+		352		ADP-ribose 1-phosphate phophatase related protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0067		PATRIC	CDS	65012	65293	282	-		93		FIG00822718: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0068		PATRIC	CDS	65400	65531	132	-		43		FIG00820573: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0069	Rv0062	PATRIC	CDS	65771	66694	924	+		307	celA1	Endoglucanase A precursor (EC 3.2.1.4)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0070	Rv0063	PATRIC	CDS	67067	68362	1296	+		431		Oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0071		PATRIC	CDS	68424	68579	156	+		51		FIG00823318: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0072	Rv0064	PATRIC	CDS	68689	71559	2871	+		956		INTEGRAL MEMBRANE PROTEIN (Rhomboid family)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0073		PATRIC	CDS	71589	71828	240	+		79		FIG00821519: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0074	Rv0065	PATRIC	CDS	71821	72222	402	+		133		FIG00821043: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0075	Rv0066c	PATRIC	CDS	72274	74511	2238	-		745	icd2	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)				
